STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",3/10/2019,,0.54,0,0,,43,35
USW00094728,"NY CITY CENTRAL PARK, NY US",3/11/2019,9.17,0,0,0,,53,39
USW00094728,"NY CITY CENTRAL PARK, NY US",3/12/2019,8.95,0,0,0,,44,34
USW00094728,"NY CITY CENTRAL PARK, NY US",3/13/2019,2.46,0,0,0,,49,32
USW00094728,"NY CITY CENTRAL PARK, NY US",3/14/2019,2.91,0,0,0,,57,42
USW00094728,"NY CITY CENTRAL PARK, NY US",3/15/2019,2.24,0.39,0,0,,75,49
USW00094728,"NY CITY CENTRAL PARK, NY US",3/16/2019,10.07,0,0,0,,58,37
USW00094728,"NY CITY CENTRAL PARK, NY US",3/17/2019,6.26,0,0,0,,45,34
USW00094728,"NY CITY CENTRAL PARK, NY US",3/18/2019,2.01,0,0,0,,46,32
USW00094728,"NY CITY CENTRAL PARK, NY US",3/19/2019,3.13,0,0,0,,51,35
USW00094728,"NY CITY CENTRAL PARK, NY US",3/20/2019,2.91,0,0,0,,53,37
USW00094728,"NY CITY CENTRAL PARK, NY US",3/21/2019,7.83,0.75,0,0,,46,41
USW00094728,"NY CITY CENTRAL PARK, NY US",3/22/2019,10.74,0.68,0,0,,49,38
USW00094728,"NY CITY CENTRAL PARK, NY US",3/23/2019,9.84,0,0,0,,48,35
USW00094728,"NY CITY CENTRAL PARK, NY US",3/24/2019,4.47,0,0,0,,60,38
USW00094728,"NY CITY CENTRAL PARK, NY US",3/25/2019,4.25,0,0,0,,56,42
USW00094728,"NY CITY CENTRAL PARK, NY US",3/26/2019,7.83,0,0,0,,49,33
USW00094728,"NY CITY CENTRAL PARK, NY US",3/27/2019,4.03,0,0,0,,47,34
USW00094728,"NY CITY CENTRAL PARK, NY US",3/28/2019,1.57,0,0,0,,53,37
USW00094728,"NY CITY CENTRAL PARK, NY US",3/29/2019,2.01,0,0,0,,59,49
USW00094728,"NY CITY CENTRAL PARK, NY US",3/30/2019,3.36,0,0,0,,70,52
USW00094728,"NY CITY CENTRAL PARK, NY US",3/31/2019,5.82,0.06,0,0,,65,39
USW00094728,"NY CITY CENTRAL PARK, NY US",4/1/2019,7.16,0,0,0,,46,33
USW00094728,"NY CITY CENTRAL PARK, NY US",4/2/2019,4.47,0,0,0,,52,39
USW00094728,"NY CITY CENTRAL PARK, NY US",4/3/2019,7.38,0,0,0,,67,41
USW00094728,"NY CITY CENTRAL PARK, NY US",4/4/2019,6.71,0,0,0,,60,44
USW00094728,"NY CITY CENTRAL PARK, NY US",4/5/2019,5.82,0.2,0,0,,45,38
USW00094728,"NY CITY CENTRAL PARK, NY US",4/6/2019,3.36,0,0,0,,68,39
USW00094728,"NY CITY CENTRAL PARK, NY US",4/7/2019,1.57,0,0,0,,66,51
USW00094728,"NY CITY CENTRAL PARK, NY US",4/8/2019,3.58,0.26,0,0,,79,49
USW00094728,"NY CITY CENTRAL PARK, NY US",4/9/2019,2.91,0.03,0,0,,51,46
USW00094728,"NY CITY CENTRAL PARK, NY US",4/10/2019,6.49,0,0,0,,60,45
USW00094728,"NY CITY CENTRAL PARK, NY US",4/11/2019,3.13,0,0,0,,55,40
USW00094728,"NY CITY CENTRAL PARK, NY US",4/12/2019,3.8,0.63,0,0,,68,46
USW00094728,"NY CITY CENTRAL PARK, NY US",4/13/2019,2.91,0.24,0,0,,77,59
USW00094728,"NY CITY CENTRAL PARK, NY US",4/14/2019,1.57,0.01,0,0,,73,60
USW00094728,"NY CITY CENTRAL PARK, NY US",4/15/2019,8.5,0.96,0,0,,65,46
USW00094728,"NY CITY CENTRAL PARK, NY US",4/16/2019,9.4,0,0,0,,66,44
USW00094728,"NY CITY CENTRAL PARK, NY US",4/17/2019,3.13,0.01,0,0,,63,48
USW00094728,"NY CITY CENTRAL PARK, NY US",4/18/2019,3.58,0,0,0,,62,51
USW00094728,"NY CITY CENTRAL PARK, NY US",4/19/2019,3.36,0.01,0,0,,80,58
USW00094728,"NY CITY CENTRAL PARK, NY US",4/20/2019,3.8,0.7,0,0,,64,55
USW00094728,"NY CITY CENTRAL PARK, NY US",4/21/2019,3.36,0,0,0,,66,53
USW00094728,"NY CITY CENTRAL PARK, NY US",4/22/2019,4.47,0.24,0,0,,64,52
USW00094728,"NY CITY CENTRAL PARK, NY US",4/23/2019,2.01,0.08,0,0,,77,56
USW00094728,"NY CITY CENTRAL PARK, NY US",4/24/2019,5.82,0,0,0,,69,55
USW00094728,"NY CITY CENTRAL PARK, NY US",4/25/2019,3.36,0.02,0,0,,66,48
USW00094728,"NY CITY CENTRAL PARK, NY US",4/26/2019,4.92,1.03,0,0,,59,51
USW00094728,"NY CITY CENTRAL PARK, NY US",4/27/2019,6.93,0.07,0,0,,58,47
USW00094728,"NY CITY CENTRAL PARK, NY US",4/28/2019,3.8,0.01,0,0,,53,45
USW00094728,"NY CITY CENTRAL PARK, NY US",4/29/2019,2.68,0.01,0,0,,60,41
USW00094728,"NY CITY CENTRAL PARK, NY US",4/30/2019,2.01,0.04,0,0,,60,48
USW00094728,"NY CITY CENTRAL PARK, NY US",5/1/2019,2.46,0,0,0,,56,50
USW00094728,"NY CITY CENTRAL PARK, NY US",5/2/2019,2.68,0.01,0,0,,78,50
USW00094728,"NY CITY CENTRAL PARK, NY US",5/3/2019,2.46,0.06,0,0,,56,50
USW00094728,"NY CITY CENTRAL PARK, NY US",5/4/2019,1.12,0.11,0,0,,71,53
USW00094728,"NY CITY CENTRAL PARK, NY US",5/5/2019,7.16,1.31,0,0,,58,51
USW00094728,"NY CITY CENTRAL PARK, NY US",5/6/2019,4.03,0,0,0,,74,51
USW00094728,"NY CITY CENTRAL PARK, NY US",5/7/2019,1.34,0.11,0,0,,70,52
USW00094728,"NY CITY CENTRAL PARK, NY US",5/8/2019,4.47,0,0,0,,71,55
USW00094728,"NY CITY CENTRAL PARK, NY US",5/9/2019,5.59,0,0,0,,61,53
USW00094728,"NY CITY CENTRAL PARK, NY US",5/10/2019,1.57,0.04,0,0,,73,56
USW00094728,"NY CITY CENTRAL PARK, NY US",5/11/2019,3.13,0.04,0,0,,69,56
USW00094728,"NY CITY CENTRAL PARK, NY US",5/12/2019,8.5,1.32,0,0,,59,43
USW00094728,"NY CITY CENTRAL PARK, NY US",5/13/2019,5.59,0.7,0,0,,48,42
USW00094728,"NY CITY CENTRAL PARK, NY US",5/14/2019,2.24,0.3,0,0,,52,44
USW00094728,"NY CITY CENTRAL PARK, NY US",5/15/2019,3.8,0.01,0,0,,69,44
USW00094728,"NY CITY CENTRAL PARK, NY US",5/16/2019,2.68,0.12,0,0,,73,52
USW00094728,"NY CITY CENTRAL PARK, NY US",5/17/2019,4.92,0.03,0,0,,76,60
USW00094728,"NY CITY CENTRAL PARK, NY US",5/18/2019,2.68,0,0,0,,75,56
USW00094728,"NY CITY CENTRAL PARK, NY US",5/19/2019,2.91,0.06,0,0,,76,60
USW00094728,"NY CITY CENTRAL PARK, NY US",5/20/2019,5.37,0,0,0,,85,66
USW00094728,"NY CITY CENTRAL PARK, NY US",5/21/2019,5.82,0,0,0,,71,56
USW00094728,"NY CITY CENTRAL PARK, NY US",5/22/2019,4.25,0,0,0,,74,54
USW00094728,"NY CITY CENTRAL PARK, NY US",5/23/2019,4.03,0.48,0,0,,72,55
USW00094728,"NY CITY CENTRAL PARK, NY US",5/24/2019,7.61,0,0,0,,73,61
USW00094728,"NY CITY CENTRAL PARK, NY US",5/25/2019,4.03,0,0,0,,71,55
USW00094728,"NY CITY CENTRAL PARK, NY US",5/26/2019,4.25,0.2,0,0,,86,59
USW00094728,"NY CITY CENTRAL PARK, NY US",5/27/2019,3.58,0,0,0,,80,64
USW00094728,"NY CITY CENTRAL PARK, NY US",5/28/2019,4.25,0.17,0,0,,71,62
USW00094728,"NY CITY CENTRAL PARK, NY US",5/29/2019,4.7,0.8,0,0,,70,56
USW00094728,"NY CITY CENTRAL PARK, NY US",5/30/2019,2.01,0.95,0,0,,70,57
USW00094728,"NY CITY CENTRAL PARK, NY US",5/31/2019,2.68,0,0,0,,80,63
USW00094728,"NY CITY CENTRAL PARK, NY US",6/1/2019,2.68,0,0,0,,80,63
USW00094728,"NY CITY CENTRAL PARK, NY US",6/2/2019,3.8,0.86,0,0,,81,61
USW00094728,"NY CITY CENTRAL PARK, NY US",6/3/2019,5.37,0,0,0,,70,58
USW00094728,"NY CITY CENTRAL PARK, NY US",6/4/2019,3.8,0,0,0,,70,54
USW00094728,"NY CITY CENTRAL PARK, NY US",6/5/2019,4.47,0,0,0,,81,64
USW00094728,"NY CITY CENTRAL PARK, NY US",6/6/2019,4.7,0.04,0,0,,83,68
USW00094728,"NY CITY CENTRAL PARK, NY US",6/7/2019,2.24,0,0,0,,81,66
USW00094728,"NY CITY CENTRAL PARK, NY US",6/8/2019,6.26,0,0,0,,81,63
USW00094728,"NY CITY CENTRAL PARK, NY US",6/9/2019,6.49,0,0,0,,78,60
USW00094728,"NY CITY CENTRAL PARK, NY US",6/10/2019,6.71,0.62,0,0,,70,60
USW00094728,"NY CITY CENTRAL PARK, NY US",6/11/2019,6.26,0.45,0,0,,77,63
USW00094728,"NY CITY CENTRAL PARK, NY US",6/12/2019,4.03,0,0,0,,74,59
